sample_id,topic_id,gold_label,success,candidate_count,initial_contract_valid,initial_contract_errors,retry_triggered,full_arbitration_status,full_final_score,full_predicted_label,no_retry_status,no_retry_final_score,no_retry_predicted_label,total_ms,started_at_utc,error
NEWS-EVAL-025,T07,可信新闻,True,10,True,,False,ok,93.5,可信新闻,initial_contract_ok,93.5,可信新闻,15967.79,2026-07-02T04:49:40.749534+00:00,
NEWS-EVAL-026,T07,存疑信息,True,10,False,"candidate_id missing from arbitration: kb:13, kb:160, kb:163, kb:221, kb:30, kb:64, kb:65, kb:67",True,ok,53.4,疑似谣言,initial_contract_rejected,56.0,疑似谣言,48636.01,2026-07-02T04:50:29.388773+00:00,
NEWS-EVAL-027,T07,疑似谣言,True,10,True,,False,ok,83.8,可信新闻,initial_contract_ok,83.8,可信新闻,24132.41,2026-07-01T15:16:50.119761+00:00,
NEWS-EVAL-028,T07,高风险谣言,True,10,True,,False,ok,33.3,高风险谣言,initial_contract_ok,33.3,高风险谣言,23546.93,2026-07-01T15:26:22.794352+00:00,
NEWS-EVAL-029,T08,可信新闻,True,10,True,,False,ok,91.7,可信新闻,initial_contract_ok,91.7,可信新闻,24481.18,2026-07-01T15:26:47.278791+00:00,
NEWS-EVAL-030,T08,存疑信息,True,10,False,provider_error,False,provider_error,80.0,可信新闻,provider_error,80.0,可信新闻,30635.41,2026-07-02T04:51:00.028392+00:00,
NEWS-EVAL-031,T08,疑似谣言,True,10,True,,False,ok,62.4,存疑信息,initial_contract_ok,62.4,存疑信息,29442.44,2026-07-02T04:51:29.474247+00:00,
NEWS-EVAL-032,T08,高风险谣言,True,10,True,,False,ok,51.4,疑似谣言,initial_contract_ok,51.4,疑似谣言,21577.2,2026-07-01T15:17:11.701535+00:00,
NEWS-EVAL-033,T09,可信新闻,True,10,True,,False,ok,93.5,可信新闻,initial_contract_ok,93.5,可信新闻,20475.72,2026-07-01T15:17:32.181757+00:00,
NEWS-EVAL-034,T09,存疑信息,True,10,True,,False,ok,48.6,疑似谣言,initial_contract_ok,48.6,疑似谣言,27379.34,2026-07-01T15:27:14.661843+00:00,
NEWS-EVAL-035,T09,疑似谣言,True,10,True,,False,ok,41.0,疑似谣言,initial_contract_ok,41.0,疑似谣言,24211.13,2026-07-02T04:51:53.689619+00:00,
NEWS-EVAL-036,T09,高风险谣言,True,10,True,,False,ok,46.6,疑似谣言,initial_contract_ok,46.6,疑似谣言,15082.3,2026-07-02T04:52:08.776126+00:00,
NEWS-EVAL-037,T10,可信新闻,True,10,True,,False,ok,91.0,可信新闻,initial_contract_ok,91.0,可信新闻,16273.69,2026-07-02T04:52:25.053250+00:00,
NEWS-EVAL-038,T10,存疑信息,True,10,True,,False,ok,46.3,疑似谣言,initial_contract_ok,46.3,疑似谣言,18759.25,2026-07-01T15:17:50.944541+00:00,
NEWS-EVAL-039,T10,疑似谣言,True,10,False,provider_error,False,provider_error,80.0,可信新闻,provider_error,80.0,可信新闻,30781.08,2026-07-01T15:27:45.446468+00:00,
NEWS-EVAL-040,T10,高风险谣言,True,10,True,,False,ok,41.2,疑似谣言,initial_contract_ok,41.2,疑似谣言,21148.86,2026-07-02T04:52:46.206062+00:00,
NEWS-EVAL-041,T11,可信新闻,True,10,True,,False,ok,93.5,可信新闻,initial_contract_ok,93.5,可信新闻,14091.9,2026-07-02T04:53:00.301115+00:00,
NEWS-EVAL-042,T11,存疑信息,True,10,False,"candidate_id missing from arbitration: kb:145, kb:153, kb:22, kb:25, kb:65, kb:67, kb:84, kb:87",True,ok,45.4,疑似谣言,initial_contract_rejected,50.0,疑似谣言,51727.66,2026-07-02T04:53:52.032619+00:00,
NEWS-EVAL-043,T11,疑似谣言,True,10,False,provider_error,False,provider_error,80.0,可信新闻,provider_error,80.0,可信新闻,30780.7,2026-07-01T15:18:21.729792+00:00,
NEWS-EVAL-044,T11,高风险谣言,True,10,True,,False,ok,48.9,疑似谣言,initial_contract_ok,48.9,疑似谣言,19895.21,2026-07-01T15:28:05.344190+00:00,
NEWS-EVAL-045,T12,可信新闻,True,10,True,,False,ok,93.5,可信新闻,initial_contract_ok,93.5,可信新闻,11201.96,2026-07-01T15:28:16.550327+00:00,
NEWS-EVAL-046,T12,存疑信息,True,10,True,,False,ok,53.6,疑似谣言,initial_contract_ok,53.6,疑似谣言,19993.23,2026-07-02T04:54:12.029095+00:00,
NEWS-EVAL-047,T12,疑似谣言,True,10,False,"candidate_id missing from arbitration: kb:145, kb:146, kb:153, kb:164, kb:173, kb:212, kb:72",True,ok,82.4,可信新闻,initial_contract_rejected,90.8,可信新闻,43752.7,2026-07-02T04:54:55.785541+00:00,
NEWS-EVAL-048,T12,高风险谣言,True,10,True,,False,ok,40.6,疑似谣言,initial_contract_ok,40.6,疑似谣言,20941.63,2026-07-01T15:18:42.674233+00:00,
NEWS-EVAL-049,T13,可信新闻,True,10,True,,False,ok,91.7,可信新闻,initial_contract_ok,91.7,可信新闻,17462.84,2026-07-01T15:19:00.140432+00:00,
NEWS-EVAL-050,T13,存疑信息,True,10,True,,False,ok,48.4,疑似谣言,initial_contract_ok,48.4,疑似谣言,29106.78,2026-07-01T15:28:45.661053+00:00,
NEWS-EVAL-051,T13,疑似谣言,True,10,False,provider_error,False,provider_error,80.0,可信新闻,provider_error,80.0,可信新闻,30563.36,2026-07-02T04:55:26.351878+00:00,
NEWS-EVAL-052,T13,高风险谣言,True,10,True,,False,ok,48.9,疑似谣言,initial_contract_ok,48.9,疑似谣言,17768.26,2026-07-02T04:55:44.122854+00:00,
NEWS-EVAL-053,T14,可信新闻,True,10,True,,False,ok,91.7,可信新闻,initial_contract_ok,91.7,可信新闻,20953.16,2026-07-02T04:56:05.079178+00:00,
NEWS-EVAL-054,T14,存疑信息,True,10,True,,False,ok,56.0,疑似谣言,initial_contract_ok,56.0,疑似谣言,28547.1,2026-07-01T15:19:28.691602+00:00,
NEWS-EVAL-055,T14,疑似谣言,True,10,True,,False,ok,72.9,存疑信息,initial_contract_ok,72.9,存疑信息,28462.11,2026-07-01T15:29:14.128359+00:00,
NEWS-EVAL-056,T14,高风险谣言,True,10,True,,False,ok,41.2,疑似谣言,initial_contract_ok,41.2,疑似谣言,20142.46,2026-07-02T04:56:25.227014+00:00,
NEWS-EVAL-057,T15,可信新闻,True,10,True,,False,ok,93.5,可信新闻,initial_contract_ok,93.5,可信新闻,20739.61,2026-07-02T04:56:45.969740+00:00,
NEWS-EVAL-058,T15,存疑信息,True,10,False,provider_error,False,provider_error,80.0,可信新闻,provider_error,80.0,可信新闻,30571.55,2026-07-02T04:57:16.544307+00:00,
NEWS-EVAL-059,T15,疑似谣言,True,10,True,,False,ok,89.9,可信新闻,initial_contract_ok,89.9,可信新闻,30487.29,2026-07-01T15:19:59.182729+00:00,
NEWS-EVAL-060,T15,高风险谣言,True,10,True,,False,ok,35.9,高风险谣言,initial_contract_ok,35.9,高风险谣言,17759.73,2026-07-01T15:29:31.892096+00:00,
NEWS-EVAL-061,T16,可信新闻,True,10,True,,False,ok,90.1,可信新闻,initial_contract_ok,90.1,可信新闻,14488.59,2026-07-01T15:29:46.384331+00:00,
NEWS-EVAL-062,T16,存疑信息,True,10,True,,False,ok,58.5,疑似谣言,initial_contract_ok,58.5,疑似谣言,27477.29,2026-07-02T04:57:44.024867+00:00,
NEWS-EVAL-063,T16,疑似谣言,True,10,True,,False,ok,63.6,存疑信息,initial_contract_ok,63.6,存疑信息,20357.71,2026-07-02T04:58:04.386179+00:00,
NEWS-EVAL-064,T16,高风险谣言,True,10,True,,False,ok,40.6,疑似谣言,initial_contract_ok,40.6,疑似谣言,22552.09,2026-07-01T15:20:21.740997+00:00,
NEWS-EVAL-065,T17,可信新闻,True,10,True,,False,ok,93.5,可信新闻,initial_contract_ok,93.5,可信新闻,13526.02,2026-07-01T15:20:35.270704+00:00,
NEWS-EVAL-066,T17,存疑信息,True,10,True,,False,ok,59.2,疑似谣言,initial_contract_ok,59.2,疑似谣言,24081.69,2026-07-01T15:30:10.470306+00:00,
NEWS-EVAL-067,T17,疑似谣言,True,10,True,,False,ok,80.9,可信新闻,initial_contract_ok,80.9,可信新闻,18953.74,2026-07-02T04:58:23.343276+00:00,
NEWS-EVAL-068,T17,高风险谣言,True,10,True,,False,ok,52.5,疑似谣言,initial_contract_ok,52.5,疑似谣言,24475.82,2026-07-02T04:58:47.823528+00:00,
NEWS-EVAL-069,T18,可信新闻,True,10,True,,False,ok,93.5,可信新闻,initial_contract_ok,93.5,可信新闻,12825.75,2026-07-02T04:59:00.652608+00:00,
NEWS-EVAL-070,T18,存疑信息,True,10,True,,False,ok,57.2,疑似谣言,initial_contract_ok,57.2,疑似谣言,24573.41,2026-07-01T15:20:59.848336+00:00,
NEWS-EVAL-071,T18,疑似谣言,True,10,True,,False,ok,93.5,可信新闻,initial_contract_ok,93.5,可信新闻,23546.63,2026-07-01T15:30:34.020547+00:00,
NEWS-EVAL-072,T18,高风险谣言,True,10,True,,False,ok,53.2,疑似谣言,initial_contract_ok,53.2,疑似谣言,26528.22,2026-07-02T04:59:27.185558+00:00,
NEWS-EVAL-073,T19,可信新闻,True,10,True,,False,ok,91.7,可信新闻,initial_contract_ok,91.7,可信新闻,15334.67,2026-07-02T04:59:42.523210+00:00,
NEWS-EVAL-074,T19,存疑信息,True,10,True,,False,ok,53.2,疑似谣言,initial_contract_ok,53.2,疑似谣言,23829.25,2026-07-02T05:00:06.356031+00:00,
NEWS-EVAL-075,T19,疑似谣言,True,10,True,,False,ok,83.8,可信新闻,initial_contract_ok,83.8,可信新闻,26999.04,2026-07-01T15:21:26.850136+00:00,
NEWS-EVAL-076,T19,高风险谣言,True,10,True,,False,ok,39.4,高风险谣言,initial_contract_ok,39.4,高风险谣言,22642.08,2026-07-01T15:30:56.667697+00:00,
NEWS-EVAL-077,T20,可信新闻,True,10,True,,False,ok,96.0,可信新闻,initial_contract_ok,96.0,可信新闻,18578.97,2026-07-01T15:31:15.250386+00:00,
NEWS-EVAL-078,T20,存疑信息,True,10,True,,False,ok,46.8,疑似谣言,initial_contract_ok,46.8,疑似谣言,18917.92,2026-07-02T05:00:25.276914+00:00,
NEWS-EVAL-079,T20,疑似谣言,True,10,False,provider_error,False,provider_error,80.0,可信新闻,provider_error,80.0,可信新闻,30568.34,2026-07-02T05:00:55.848828+00:00,
NEWS-EVAL-080,T20,高风险谣言,True,10,False,provider_error,False,provider_error,100.0,可信新闻,provider_error,100.0,可信新闻,30786.33,2026-07-01T15:21:57.639878+00:00,
