sample_id,topic_id,gold_label,policy,isolated_local_kb_count,success,web_triggered,web_candidate_count,web_effective_count,candidate_count,effective_evidence_count,final_score,predicted_label,arbitration_status,total_ms,stage_timings_ms,started_at_utc,error
NEWS-EVAL-022,T06,存疑信息,Local-only,0,True,False,0,0,0,0,44.0,疑似谣言,no_evidence,11713.56,"{""extract_keywords"": 0.44, ""local_retrieval"": 0.01, ""analyze_news_credibility"": 11703.4, ""calculate_rule_score"": 0.17, ""database_save_mock"": 0.03}",2026-07-01T10:14:12.511357+00:00,
NEWS-EVAL-022,T06,存疑信息,Local+Web,0,True,True,5,0,5,0,62.0,存疑信息,ok,23426.77,"{""extract_keywords"": 0.16, ""local_retrieval"": 0.0, ""search_evidence"": 358.67, ""analyze_news_credibility"": 23058.59, ""calculate_rule_score"": 0.2, ""database_save_mock"": 0.03}",2026-07-01T10:14:24.226722+00:00,
NEWS-EVAL-027,T07,疑似谣言,Local-only,0,True,False,0,0,0,0,47.0,疑似谣言,no_evidence,16790.26,"{""extract_keywords"": 0.15, ""local_retrieval"": 0.0, ""analyze_news_credibility"": 16782.87, ""calculate_rule_score"": 0.23, ""database_save_mock"": 0.02}",2026-07-01T10:14:47.655736+00:00,
NEWS-EVAL-027,T07,疑似谣言,Local+Web,0,True,True,5,0,5,0,80.0,可信新闻,provider_error,30533.62,"{""extract_keywords"": 0.21, ""local_retrieval"": 0.0, ""search_evidence"": 373.48, ""analyze_news_credibility"": 30151.55, ""calculate_rule_score"": 0.25, ""database_save_mock"": 0.03}",2026-07-01T10:15:04.447623+00:00,
NEWS-EVAL-032,T08,高风险谣言,Local-only,0,True,False,0,0,0,0,43.0,疑似谣言,no_evidence,22266.04,"{""extract_keywords"": 0.24, ""local_retrieval"": 0.01, ""analyze_news_credibility"": 22255.52, ""calculate_rule_score"": 0.26, ""database_save_mock"": 0.03}",2026-07-01T10:15:34.984635+00:00,
NEWS-EVAL-032,T08,高风险谣言,Local+Web,0,True,True,5,4,5,4,47.7,疑似谣言,ok,29385.25,"{""extract_keywords"": 0.25, ""local_retrieval"": 0.01, ""search_evidence"": 365.31, ""analyze_news_credibility"": 29008.16, ""calculate_rule_score"": 1.05, ""database_save_mock"": 0.02}",2026-07-01T10:15:57.252951+00:00,
NEWS-EVAL-033,T09,可信新闻,Local-only,0,True,False,0,0,0,0,80.0,可信新闻,no_evidence,30161.83,"{""extract_keywords"": 0.21, ""local_retrieval"": 0.01, ""analyze_news_credibility"": 30153.95, ""calculate_rule_score"": 0.17, ""database_save_mock"": 0.02}",2026-07-01T10:16:26.640449+00:00,
NEWS-EVAL-033,T09,可信新闻,Local+Web,0,True,True,5,0,5,0,44.0,疑似谣言,ok,23062.4,"{""extract_keywords"": 0.17, ""local_retrieval"": 0.0, ""search_evidence"": 460.02, ""analyze_news_credibility"": 22592.73, ""calculate_rule_score"": 0.17, ""database_save_mock"": 0.04}",2026-07-01T10:16:56.804079+00:00,
NEWS-EVAL-038,T10,存疑信息,Local-only,0,True,False,0,0,0,0,62.0,存疑信息,no_evidence,15928.13,"{""extract_keywords"": 0.16, ""local_retrieval"": 0.0, ""analyze_news_credibility"": 15921.61, ""calculate_rule_score"": 0.24, ""database_save_mock"": 0.03}",2026-07-01T10:17:19.870139+00:00,
NEWS-EVAL-038,T10,存疑信息,Local+Web,0,True,True,5,4,5,4,56.0,疑似谣言,ok,26724.21,"{""extract_keywords"": 0.16, ""local_retrieval"": 0.0, ""search_evidence"": 438.1, ""analyze_news_credibility"": 26271.98, ""calculate_rule_score"": 1.74, ""database_save_mock"": 0.03}",2026-07-01T10:17:35.799993+00:00,
NEWS-EVAL-043,T11,疑似谣言,Local-only,0,True,False,0,0,0,0,86.0,可信新闻,no_evidence,18877.8,"{""extract_keywords"": 0.27, ""local_retrieval"": 0.01, ""analyze_news_credibility"": 18868.5, ""calculate_rule_score"": 0.27, ""database_save_mock"": 0.03}",2026-07-01T10:18:02.527739+00:00,
NEWS-EVAL-043,T11,疑似谣言,Local+Web,0,True,True,5,0,5,0,87.2,可信新闻,ok,24161.87,"{""extract_keywords"": 0.28, ""local_retrieval"": 0.01, ""search_evidence"": 375.5, ""analyze_news_credibility"": 23778.06, ""calculate_rule_score"": 0.16, ""database_save_mock"": 0.03}",2026-07-01T10:18:21.407748+00:00,
NEWS-EVAL-048,T12,高风险谣言,Local-only,0,True,False,0,0,0,0,43.0,疑似谣言,no_evidence,26743.77,"{""extract_keywords"": 0.28, ""local_retrieval"": 0.01, ""analyze_news_credibility"": 26734.34, ""calculate_rule_score"": 0.25, ""database_save_mock"": 0.04}",2026-07-01T10:18:45.572793+00:00,
NEWS-EVAL-048,T12,高风险谣言,Local+Web,0,True,True,5,0,5,0,40.0,疑似谣言,ok,22171.92,"{""extract_keywords"": 0.41, ""local_retrieval"": 0.01, ""search_evidence"": 387.83, ""analyze_news_credibility"": 21772.41, ""calculate_rule_score"": 0.21, ""database_save_mock"": 0.03}",2026-07-01T10:19:12.320406+00:00,
